surname,name,birthdate,codice_fiscale,ID_home
Marchetti,Matteo,1953-12-22,MRCMTT53T22F205P,95
Ferrari,Graziella,1986-07-05,FRRGZL86L45F205R,64
Casadei,Marinella,1950-10-31,CSDMNL50R71F205U,33
Gusmeroli,Lorenzo,1966-02-23,GSMLNZ66B23F205E,96
Mazzoni,Nataliia,1951-03-27,MZZNTL51C67F205N,39
Mancini,Giorgio,1944-02-03,MNCGRG44B03F205V,74
Bianchi,Tetiana,1958-02-26,BNCTTN58B66F205Z,92
Ferrando,Elisabetta,1939-02-02,FRRLBT39B42F205M,100
Gori,Martina,1981-09-25,GROMTN81P65F205R,45
Costantini,Jari,1987-10-27,CSTJRA87R27F205A,29
Romagnoli,Giuseppe,1963-06-23,RMGGPP63H23F205W,83
Di Pietro,Giovanni,1965-01-27,DPTGNN65A27F205I,70
Bresciani,Anna Luigina,1966-10-09,BRSNLG66R49F205Z,61
Fiorini,Maria,1987-01-16,FRNMRA87A56F205K,90
De Luca,Vittorio,1979-06-22,DLCVTR79H22F205S,86
Bertini,Monica,1965-02-07,BRTMNC65B47F205Z,68
Rinaldi,Enrico,1985-09-21,RNLNRC85P21F205W,56
Rosset,Gianmichele,1928-03-11,RSSGMC28C11F205C,51
Nanni,Simone,1927-01-16,NNNSMN27A16F205Y,68
Conti,Beatrice,1923-10-07,CNTBRC23R47F205Z,3
Sartori,Giuseppina,1926-11-26,SRTGPP26S66F205E,59
Moro,Silvia,1928-07-10,MROSLV28L50F205F,43
Santarelli,Donata,1968-11-07,SNTDNT68S47F205E,5
Russo,Tatiana,1994-08-03,RSSTTN94M43F205F,60
Di Iorio,Laura,1971-02-21,DRILRA71B61F205F,4
Tesi,Tatiana,1959-01-18,TSETTN59A58F205B,56
De Santis,Catena,1969-12-24,DSNCTN69T64F205U,13
Grillo,Franco,1946-12-05,GRLFNC46T05F205Y,24
Russo,Gabriella,1934-12-12,RSSGRL34T52F205R,52
Pini,Giuseppe,1955-06-07,PNIGPP55H07F205E,9
Cavalli,Enzo,1954-04-25,CVLNZE54D25F205C,38
Iacono,Maria Giuseppina,1987-11-30,CNIMGS87S70F205V,24
Conti,Oriana,1952-09-26,CNTRNO52P66F205P,84
Rota,Giorgio,1925-06-07,RTOGRG25H07F205V,43
Fornara,Angelo,1935-06-20,FRNNGL35H20F205O,2
Sala,Paolo,1959-07-29,SLAPLA59L29F205L,62
Ferrero,Marco,1995-07-02,FRRMRC95L02F205O,0
Piras,Rita,2003-09-08,PRSRTI03P48F205U,40
Serafini,Beatrice,1962-10-01,SRFBRC62R41F205B,65
De Bona,Luigi,1938-08-28,DBNLGU38M28F205V,93
Castiglioni,Giuseppe Kevin,1964-08-04,CSTGPP64M04F205A,24
Campanini,Blerim,1964-10-04,CMPBRM64R04F205W,15
De Santis,Sara,1986-02-05,DSNSRA86B45F205G,71
Barbieri,Francesco,1974-09-24,BRBFNC74P24F205Y,50
Rossi,Ana Laura,1956-10-23,RSSNLR56R63F205F,64
Zennaro,Giovanni Bartolomeo,1998-03-24,ZNNGNN98C24F205H,37
Pichler,Erika,1928-09-25,PCHRKE28P65F205Z,53
Pinna,Riccardo,2001-10-08,PNNRCR01R08F205X,61
Romano,Rosa,1939-03-25,RMNRSO39C65F205Q,96
Ferraris,Vincenzo,1974-01-26,FRRVCN74A26F205J,38
Bertini,Ervin,1940-09-19,BRTRVN40P19F205Y,21
De Lucia,Angelica,1923-11-05,DLCNLC23S45F205Y,14
Gentile,Benito,1968-10-14,GNTBNT68R14F205Q,78
Ferrari,Laura,1948-06-19,FRRLRA48H59F205K,52
Mair,Adriano Pierluigi,1995-05-10,MRADNP95E10F205E,74
Guerriero,Paolo,2000-03-30,GRRPLA00C30F205O,44
Ferrero,Paola,1961-12-12,FRRPLA61T52F205Q,14
Loi,Rita,1974-02-07,LOIRTI74B47F205L,11
Gatti,Rachid,1930-05-24,GTTRHD30E24F205F,18
D'Andrea,Luciana,1960-12-28,DNDLCN60T68F205D,33
Balboni,Nazzarena,1923-04-26,BLBNZR23D66F205T,65
Sabatini,Paolo,1984-09-01,SBTPLA84P01F205R,10
Guastone,Ilaria,1931-11-05,GSTLRI31S45F205E,79
Conti,Domenico,1979-03-18,CNTDNC79C18F205B,13
Menconi,Mafalda,1942-04-09,MNCMLD42D49F205R,62
Da Rold,Bianca,1978-07-19,DRLBNC78L59F205Z,46
Campisi,Giorgia,1951-01-06,CMPGRG51A46F205T,27
Fabris,Valentina,1926-06-29,FBRVNT26H69F205E,27
Lombardo,Tiziana,1922-12-24,LMBTZN22T64F205A,1
Romano,Kadrion,1943-12-04,RMNKRN43T04F205Z,53
Conte,Renato,1970-04-17,CNTRNT70D17F205X,7
Caruso,Franca,1958-08-28,CRSFNC58M68F205S,23
Ferrero,Valentina,1933-10-26,FRRVNT33R66F205E,64
Vierin,Tonin,1967-03-08,VRNTNN67C08F205M,0
Conte,Rogert,1988-06-29,CNTRRT88H29F205K,56
Rossi,Giada,1935-10-22,RSSGDI35R62F205J,56
Bianchi,Lorenzo Marco,1986-01-18,BNCLNZ86A18F205N,27
Rinaldi,Rosanna,1974-12-05,RNLRNN74T45F205U,42
Pellegrino,Giampaolo,1946-01-18,PLLGPL46A18F205T,15
Trevisan,Matilde,1980-08-05,TRVMLD80M45F205H,47
Galli,Rei,1926-04-09,GLLREI26D09F205W,34
Sabatini,Patricia,1951-05-11,SBTPRC51E51F205Z,27
Costa,Immacolata,1943-08-03,CSTMCL43M43F205Z,11
Baraldi,Maria Antonietta,1933-10-27,BRLMNT33R67F205G,8
Balboni,Alessandro,1999-01-01,BLBLSN99A01F205X,61
Martini,Angelo,1987-11-19,MRTNGL87S19F205P,100
Di Mauro,Lilia,1969-02-03,DMRLLI69B43F205E,13
Cingolani,Lucia,1987-08-17,CNGLCU87M57F205C,46
Bertolini,Giuseppe,1955-07-29,BRTGPP55L29F205T,50
Marino,Jorge Ricardo,1980-02-01,MRNJGR80B01F205I,96
Quinto,Liliana,1998-05-01,QNTLLN98E41F205W,69
Mecca,Raffaella,1997-07-07,MCCRFL97L47F205M,97
Salvatore,Enrico,1974-02-27,SLVNRC74B27F205P,55
Moretti,Valentina,1974-12-09,MRTVNT74T49F205K,30
Amato,Donatella,1992-10-14,MTADTL92R54F205E,50
Mantovani,Mario,1965-04-01,MNTMRA65D01F205L,23
Romagnoli,Valentina Natalia,1940-05-10,RMGVNT40E50F205M,99
Pellegrini,Fernando,1924-10-28,PLLFNN24R28F205N,55
Iacono,Fabio,1929-11-26,CNIFBA29S26F205E,55
Senatore,Angelo,1956-05-13,SNTNGL56E13F205H,89
Manca,Ilaria,1958-10-26,MNCLRI58R66F205G,58
Messina,Marco,1929-01-24,MSSMRC29A24F205P,95
Ricci,Francesco,1956-11-01,RCCFNC56S01F205S,6
Rossi,Alberto Maria,1960-02-11,RSSLRT60B11F205L,18
Liverani,Lauro,1994-12-26,LVRLRA94T26F205B,62
Bionaz,Marco,1986-07-05,BNZMRC86L05F205T,55
Beltrami,Wiam,1964-11-02,BLTWMI64S42F205G,18
Rossi,Luigia,1959-11-10,RSSLGU59S50F205R,19
Rosso,Nina,2002-04-20,RSSNNI02D60F205P,85
Rossi,Vincenzo,1946-01-09,RSSVCN46A09F205H,79
Bruzzone,Rion,1975-03-08,BRZRNI75C08F205Y,35
Di Giuseppe,Maya,1966-12-04,DGSMYA66T44F205C,53
Bellini,Dieynaba,1955-02-03,BLLDNB55B43F205N,64
Paolucci,Marco,1950-02-21,PLCMRC50B21F205B,76
De Rosa,Antonio,1940-12-18,DRSNTN40T18F205M,9
Izzo,Igli,1947-02-09,ZZIGLI47B09F205P,93
Silenzi,Anita,1938-06-25,SLNNTA38H65F205O,21
Rossi,Eugenio,1947-06-28,RSSGNE47H28F205P,66
Santarelli,Angela,1970-11-12,SNTNGL70S52F205K,54
Baggio,Claudia,1938-04-28,BGGCLD38D68F205W,78
Procopio,Jaime Enrique,1944-05-14,PRCJNR44E14F205W,98
Marconi,Emilia Edet,1981-03-13,MRCMDT81C53F205I,37
Manfredi,Matteo,1990-06-09,MNFMTT90H09F205P,61
Russo,Gabriella Maria,1930-08-14,RSSGRL30M54F205V,74
Russo,Teresa,1948-09-01,RSSTRS48P41F205A,63
Battistini,Fabrizio,1929-04-01,BTTFRZ29D01F205L,26
Milan,Daniele,1977-04-04,MLNDNL77D04F205Q,7
Pinna,Remo Luigi,1924-04-13,PNNRLG24D13F205G,61
Fiorini,Malgorzata,1959-03-25,FRNMGR59C65F205H,35
Zordan,Matteo,1999-11-23,ZRDMTT99S23F205K,93
Tagliabue,Teresina,1965-01-11,TGLTSN65A51F205N,32
Cossu,Giuseppe,1998-08-17,CSSGPP98M17F205R,7
Di Paolo,Gianpaola,1942-11-30,DPLGPL42S70F205W,8
Marini,Gianluigi,1975-05-29,MRNGLG75E29F205S,17
De Santis,Fadoua,1935-09-05,DSNFDA35P45F205I,20
Di Giuseppe,Morris,1998-03-12,DGSMRS98C12F205W,30
Romano,Pierina,1929-06-27,RMNPRN29H67F205X,82
Rosso,Elisa,1990-12-16,RSSLSE90T56F205N,5
Rossi,Vanessa,1924-08-08,RSSVSS24M48F205G,48
Ricci,Miriam,1930-07-02,RCCMRM30L42F205M,50
Gori,Carla,1974-10-19,GROCRL74R59F205M,32
Fanelli,Andrea,1989-11-09,FNLNDR89S09F205V,10
Costa,Juljan,1970-10-29,CSTJJN70R29F205V,74
Rossi ,Carla,1926-02-27,RSSCRL26B67F205M,99
Cassano,Paola,1933-06-18,CSSPLA33H58F205Y,89
Rosso,Rachele,1951-04-24,RSSRHL51D64F205M,62
Rossi,Pasquale,1928-02-22,RSSPQL28B22F205J,0
Semeraro,Sabrina,1988-12-20,SMRSRN88T60F205M,60
Venturelli,Ghofran,1945-03-24,VNTGFR45C64F205A,79
Merola,Concetta,1962-07-24,MRLCCT62L64F205U,68
Sanna,Franco Giorgio,1963-08-11,SNNFNC63M11F205C,20
De Bona,Jia Qi,1932-04-23,DBNJQI32D23F205V,18
Trevisan,Francesco,1965-04-18,TRVFNC65D18F205I,91
Russo,Supachai,1956-02-07,RSSSCH56B07F205X,74
Di Cesare,Michel,1933-09-03,DCSMHL33P03F205A,49
Russo,Bouazza,1997-02-07,RSSBZZ97B07F205Z,48
Floris,Mario,1925-12-04,FLRMRA25T04F205E,10
Trevisan,Michele,1991-05-20,TRVMHL91E20F205I,96
Mancini,Clarissa,1978-01-23,MNCCRS78A63F205W,44
Ferrari,Carlo Alberto,1930-03-28,FRRCLL30C28F205H,12
Menconi,Nicolo',1953-06-26,MNCNCL53H26F205I,62
Gentili,Rosa Angela,1939-07-24,GNTRNG39L64F205N,33
Bruzzone,Giorgio,1977-06-17,BRZGRG77H17F205M,52
Zennaro,Cristian,1941-12-11,ZNNCST41T11F205H,91
Galli,Agim,1968-09-23,GLLGMA68P23F205I,8
Rossi,Valentina,2001-04-13,RSSVNT01D53F205M,58
Berto,Irene Sara,1966-03-13,BRTRSR66C53F205I,58
D'Andrea,Giuseppina,1996-01-28,DNDGPP96A68F205X,14
De Luca,Maria Speranza,1946-08-10,DLCMSP46M50F205U,55
Trevisan,Vittorio,1949-06-30,TRVVTR49H30F205Z,80
Ciavarella,Alice,1954-08-19,CVRLCA54M59F205E,84
Zagaria,Marco,1933-06-29,ZGRMRC33H29F205C,43
Nocentini,Luigi,1971-10-24,NCNLGU71R24F205S,15
Pellegrini,Luigj,1923-02-18,PLLLGJ23B18F205A,3
Lai,Giuseppe,1985-04-21,LAIGPP85D21F205Z,61
Mantovani,Carla Santina,1936-04-04,MNTCLS36D44F205V,62
Ricci,Nicolina,1945-07-10,RCCNLN45L50F205O,84
Ferrero,Ivan,1947-01-14,FRRVNI47A14F205H,34
Bucci,Elena,1922-05-10,BCCLNE22E50F205J,4
Parisi,Alessandro,1956-10-28,PRSLSN56R28F205J,30
Ferrari,Alen,1966-07-02,FRRLNA66L02F205S,47
Barbieri,Federica,1973-07-17,BRBFRC73L57F205X,46
Riva,Raffaele,1960-02-22,RVIRFL60B22F205E,38
Rota,Amelia,1974-09-28,RTOMLA74P68F205W,46
Rossi,Anna,1933-12-26,RSSNNA33T66F205J,17
Bianchi,Teresa,1992-04-15,BNCTRS92D55F205E,84
Poletti,Ronnie Riccardo,1999-04-01,PLTRNR99D01F205M,16
Scarpa,Giampaolo,1935-04-19,SCRGPL35D19F205C,83
Pichler,Mohamed,1966-09-24,PCHMMD66P24F205J,81
Rossi,Marina Rita,1992-09-07,RSSMNR92P47F205B,10
Vichi,Elisa,2000-06-30,VCHLSE00H70F205B,74
Ferrari,Ana,1958-05-27,FRRNAA58E67F205Y,95
Campoli,Liberata,1977-04-08,CMPLRT77D48F205F,12
Galli,Christian,1956-09-28,GLLCRS56P28F205U,100
Coppola,Firdaouss,1987-04-07,CPPFDS87D47F205A,12
Romano,Andrea,1959-06-13,RMNNDR59H13F205R,76
Ferrario,Mariangela,1979-03-12,FRRMNG79C52F205K,30
Rizzo,Valentina,1930-09-21,RZZVNT30P61F205Z,49
Marino,Roberta,1951-04-30,MRNRRT51D70F205V,60
Mancuso,Danilo,1970-11-13,MNCDNL70S13F205A,24
Semeraro,Mattia,1950-08-21,SMRMTT50M21F205D,42
Fabbri,Isabelle,1930-01-27,FBBSLL30A67F205X,33
D'Alessandro,Luciano,1942-08-21,DLSLCN42M21F205J,41
De Lucia,Michele,1922-06-30,DLCMHL22H30F205K,89
Gurrieri,Nina,1958-08-18,GRRNNI58M58F205L,74
Brambilla,Lorenza Angela,1935-01-24,BRMLNZ35A64F205M,0
Ricci,Leonard,1941-01-21,RCCLRD41A21F205V,83
Bruni,Stefania Anna,1984-09-04,BRNSFN84P44F205N,33
Gallo,Scharlot,1992-06-03,GLLSHR92H43F205A,31
Marino,Martina,1978-11-07,MRNMTN78S47F205T,0
